Vin_V;Fsw_kHz;Vout_mean_V;Vout_max_steady_V;Vout_min_steady_V;Ripple_percent;Overshoot_percent;Static_error_V;Static_error_percent
280.0;215.0;26.154083251953125;26.38385391235352;25.84455108642578;2.062021493911743;39.72989654541016;1.845916748046875;6.592559814453125
280.0;190.0;28.144775390625;28.37663459777832;27.80954933166504;2.014886379241944;78.55970001220703;0.144775390625;0.5170549750328064
280.0;192.0;27.983057022094727;28.187992095947266;27.67562484741211;1.83099102973938;77.92696380615234;0.0169429779052734;0.0605106353759765
280.0;208.0;26.68453598022461;26.89940452575684;26.376354217529297;1.960125207901001;55.958229064941406;1.3154640197753906;4.698085784912109
290.0;179.5;30.13417053222656;30.394023895263672;29.816802978515625;1.915502905845642;84.5230484008789;2.1341705322265625;7.622037887573242
290.0;197.5;28.551877975463867;28.808773040771484;28.21101760864257;2.093576669692993;79.79290771484375;0.5518779754638672;1.9709928035736084
290.0;190.0;29.18001174926757;29.40214157104492;28.86117553710937;1.85389244556427;85.15818786621094;1.180011749267578;4.214327812194824
290.0;192.0;29.009096145629883;29.218170166015625;28.704370498657227;1.771167516708374;84.33479309082031;1.0090961456298828;3.603914737701416
290.0;208.0;27.666831970214844;27.89715576171875;27.334096908569336;2.0351402759552;61.48887252807617;0.3331680297851562;1.1898858547210691
240.0;146.0;28.048757553100582;28.525684356689453;27.82246208190918;2.507142305374145;23.29432678222656;0.0487575531005859;0.1741341203451156
240.0;153.0;27.16889953613281;27.594560623168945;26.92976188659668;2.446910858154297;32.266929626464844;0.8311004638671875;2.9682159423828125
240.0;151.5;27.340694427490234;27.766881942749023;27.10633087158203;2.4159996509552;30.692115783691406;0.6593055725097656;2.3546626567840576
240.0;172.0;25.3444938659668;25.587236404418945;25.088518142700195;1.9677577018737795;44.08585739135742;2.655506134033203;9.4839506149292
240.0;186.0;24.28305053710937;24.47721672058105;24.024721145629883;1.863421440124512;52.942169189453125;3.716949462890625;13.274820327758787
240.0;209.0;22.67724227905273;22.878761291503903;22.39146614074707;2.1488289833068848;30.854145050048828;5.322757720947266;19.009849548339844
250.0;146.0;29.243757247924805;29.74602508544922;29.00014305114746;2.5505683422088623;28.50769424438477;1.243757247924805;4.441990375518799
250.0;153.0;28.32839012145996;28.744543075561523;28.0980224609375;2.282235622406006;29.429763793945312;0.3283901214599609;1.172821879386902
